SID,SEASON,BASIN,SUBBASIN,NAME,ISO_TIME,NATURE,LAT,LON,USA_ATCF_ID,USA_WIND,USA_PRES,Target_Delta_Wind_6h,Target_Delta_Pres_6h,Target_Delta_Wind_12h,Target_Delta_Pres_12h,Target_Delta_Wind_18h,Target_Delta_Pres_18h,Target_Delta_Wind_24h,Target_Delta_Pres_24h,Target_Delta_Wind_30h,Target_Delta_Pres_30h,Target_Delta_Wind_36h,Target_Delta_Pres_36h,Target_Delta_Wind_42h,Target_Delta_Pres_42h,Target_Delta_Wind_48h,Target_Delta_Pres_48h,Target_Delta_Wind_54h,Target_Delta_Pres_54h,Target_Delta_Wind_60h,Target_Delta_Pres_60h,Target_Delta_Wind_66h,Target_Delta_Pres_66h,Target_Delta_Wind_72h,Target_Delta_Pres_72h,Target_Delta_Wind_78h,Target_Delta_Pres_78h,Target_Delta_Wind_84h,Target_Delta_Pres_84h,Target_Delta_Wind_90h,Target_Delta_Pres_90h,Target_Delta_Wind_96h,Target_Delta_Pres_96h,Target_Delta_Wind_102h,Target_Delta_Pres_102h,Target_Delta_Wind_108h,Target_Delta_Pres_108h,Target_Delta_Wind_114h,Target_Delta_Pres_114h,Target_Delta_Wind_120h,Target_Delta_Pres_120h,Year
2013005S10126,2013,SI,WA,NARELLE,2013-01-07 12:00:00,TS,-11.5,120.6875,SH082013,30.0,1000.0,0.0,0.0,5.0,-4.0,10.0,-7.0,15.0,-11.0,25.0,-18.0,30.0,-22.0,35.0,-26.0,35.0,-26.0,40.0,-30.0,40.0,-30.0,50.0,-37.0,50.0,-37.0,55.0,-41.0,60.0,-44.0,75.0,-56.0,85.0,-63.0,90.0,-67.0,90.0,-67.0,85.0,-63.0,75.0,-56.0,2013
2013005S10126,2013,SI,WA,NARELLE,2013-01-08 00:00:00,TS,-12.0,119.1875,SH082013,35.0,996.0,5.0,-3.0,10.0,-7.0,20.0,-14.0,25.0,-18.0,30.0,-22.0,30.0,-22.0,35.0,-26.0,35.0,-26.0,45.0,-33.0,45.0,-33.0,50.0,-37.0,55.0,-40.0,70.0,-52.0,80.0,-59.0,85.0,-63.0,85.0,-63.0,80.0,-59.0,70.0,-52.0,55.0,-40.0,45.0,-33.0,2013
2013005S10126,2013,SI,WA,NARELLE,2013-01-08 12:00:00,TS,-12.3,117.8125,SH082013,45.0,989.0,10.0,-7.0,15.0,-11.0,20.0,-15.0,20.0,-15.0,25.0,-19.0,25.0,-19.0,35.0,-26.0,35.0,-26.0,40.0,-30.0,45.0,-33.0,60.0,-45.0,70.0,-52.0,75.0,-56.0,75.0,-56.0,70.0,-52.0,60.0,-45.0,45.0,-33.0,35.0,-26.0,30.0,-22.0,30.0,-22.0,2013
2013005S10126,2013,SI,WA,NARELLE,2013-01-09 00:00:00,TS,-12.7,116.6875,SH082013,60.0,978.0,5.0,-4.0,5.0,-4.0,10.0,-8.0,10.0,-8.0,20.0,-15.0,20.0,-15.0,25.0,-19.0,30.0,-22.0,45.0,-34.0,55.0,-41.0,60.0,-45.0,60.0,-45.0,55.0,-41.0,45.0,-34.0,30.0,-22.0,20.0,-15.0,15.0,-11.0,15.0,-11.0,5.0,-4.0,0.0,0.0,2013
2013005S10126,2013,SI,WA,NARELLE,2013-01-09 12:00:00,TS,-13.5,116.125,SH082013,65.0,974.0,5.0,-4.0,5.0,-4.0,15.0,-11.0,15.0,-11.0,20.0,-15.0,25.0,-18.0,40.0,-30.0,50.0,-37.0,55.0,-41.0,55.0,-41.0,50.0,-37.0,40.0,-30.0,25.0,-18.0,15.0,-11.0,10.0,-7.0,10.0,-7.0,0.0,0.0,-5.0,4.0,-20.0,15.0,-25.0,19.0,2013
2013009S11084,2013,SI,MM,EMANG,2013-01-12 12:00:00,TS,-11.9,80.8125,SH092013,30.0,1000.0,0.0,0.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,0.0,0.0,0.0,0.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013
2013009S11084,2013,SI,MM,EMANG,2013-01-13 00:00:00,TS,-11.5,80.625,SH092013,35.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,4.0,-5.0,4.0,0.0,0.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-10.0,8.0,-10.0,8.0,2013
2013009S11084,2013,SI,MM,EMANG,2013-01-13 12:00:00,TS,-11.8,80.625,SH092013,35.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,4.0,-5.0,4.0,0.0,0.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,2013
2013009S11084,2013,SI,MM,EMANG,2013-01-14 00:00:00,TS,-12.2,79.8125,SH092013,35.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,4.0,-5.0,4.0,0.0,0.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,2013
2013009S11084,2013,SI,MM,EMANG,2013-01-14 12:00:00,TS,-12.9,79.125,SH092013,35.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,4.0,-5.0,4.0,0.0,0.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-5.0,4.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,-10.0,8.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-18 12:00:00,TS,-12.3,173.875,SH102013,25.0,1004.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,10.0,-8.0,10.0,-8.0,10.0,-8.0,10.0,-8.0,15.0,-11.0,15.0,-11.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-19 00:00:00,TS,-13.0,176.25,SH102013,25.0,1004.0,0.0,0.0,0.0,0.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,10.0,-8.0,10.0,-8.0,10.0,-8.0,10.0,-8.0,15.0,-11.0,15.0,-11.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,30.0,-22.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-19 12:00:00,TS,-13.2,178.875,SH102013,25.0,1004.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,10.0,-8.0,10.0,-8.0,10.0,-8.0,10.0,-8.0,15.0,-11.0,15.0,-11.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,20.0,-15.0,30.0,-22.0,40.0,-30.0,40.0,-30.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-20 00:00:00,TS,-13.0,181.125,SH102013,30.0,1000.0,0.0,0.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,10.0,-7.0,10.0,-7.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,25.0,-18.0,35.0,-26.0,35.0,-26.0,50.0,-37.0,55.0,-41.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-20 12:00:00,TS,-12.7,183.25,SH102013,35.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-3.0,5.0,-3.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,20.0,-14.0,30.0,-22.0,30.0,-22.0,45.0,-33.0,50.0,-37.0,45.0,-33.0,40.0,-29.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-21 00:00:00,TS,-11.6,186.0,SH102013,35.0,996.0,0.0,0.0,5.0,-3.0,5.0,-3.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,10.0,-7.0,20.0,-14.0,30.0,-22.0,30.0,-22.0,45.0,-33.0,50.0,-37.0,45.0,-33.0,40.0,-29.0,30.0,-22.0,20.0,-14.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-21 12:00:00,TS,-11.8,188.25,SH102013,40.0,993.0,0.0,0.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,15.0,-11.0,25.0,-19.0,25.0,-19.0,40.0,-30.0,45.0,-34.0,40.0,-30.0,35.0,-26.0,25.0,-19.0,15.0,-11.0,10.0,-8.0,10.0,-8.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-22 00:00:00,TS,-12.7,189.75,SH102013,45.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.0,20.0,-15.0,20.0,-15.0,35.0,-26.0,40.0,-30.0,35.0,-26.0,30.0,-22.0,20.0,-15.0,10.0,-7.0,5.0,-4.0,5.0,-4.0,0.0,0.0,-5.0,4.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-22 12:00:00,TS,-13.0,190.5,SH102013,45.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.0,20.0,-15.0,20.0,-15.0,35.0,-26.0,40.0,-30.0,35.0,-26.0,30.0,-22.0,20.0,-15.0,10.0,-7.0,5.0,-4.0,5.0,-4.0,0.0,0.0,-5.0,4.0,-10.0,7.0,-15.0,11.0,2013
2013019S12174,2013,SP,MM,GARRY,2013-01-23 00:00:00,TS,-13.5,191.25,SH102013,45.0,989.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,-7.0,20.0,-15.0,20.0,-15.0,35.0,-26.0,40.0,-30.0,35.0,-26.0,30.0,-22.0,20.0,-15.0,10.0,-7.0,5.0,-4.0,5.0,-4.0,0.0,0.0,-5.0,4.0,-10.0,7.0,-15.0,11.0,-15.0,11.0,-15.0,11.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-26 00:00:00,TS,-12.8,66.375,SH132013,30.0,1000.0,0.0,0.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,10.0,-7.0,20.0,-15.0,25.0,-18.0,30.0,-22.0,35.0,-26.0,45.0,-33.0,60.0,-44.0,70.0,-52.0,75.0,-56.0,80.0,-59.0,85.0,-63.0,75.0,-56.0,65.0,-48.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-26 12:00:00,TS,-13.4,65.375,SH132013,35.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-3.0,15.0,-11.0,20.0,-14.0,25.0,-18.0,30.0,-22.0,40.0,-29.0,55.0,-40.0,65.0,-48.0,70.0,-52.0,75.0,-55.0,80.0,-59.0,70.0,-52.0,60.0,-44.0,50.0,-37.0,45.0,-33.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-27 00:00:00,TS,-13.6,64.0,SH132013,35.0,996.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-3.0,15.0,-11.0,20.0,-14.0,25.0,-18.0,30.0,-22.0,40.0,-29.0,55.0,-40.0,65.0,-48.0,70.0,-52.0,75.0,-55.0,80.0,-59.0,70.0,-52.0,60.0,-44.0,50.0,-37.0,45.0,-33.0,40.0,-29.0,35.0,-26.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-27 12:00:00,TS,-13.5,62.1875,SH132013,35.0,996.0,0.0,0.0,5.0,-3.0,15.0,-11.0,20.0,-14.0,25.0,-18.0,30.0,-22.0,40.0,-29.0,55.0,-40.0,65.0,-48.0,70.0,-52.0,75.0,-55.0,80.0,-59.0,70.0,-52.0,60.0,-44.0,50.0,-37.0,45.0,-33.0,40.0,-29.0,35.0,-26.0,30.0,-22.0,30.0,-22.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-28 00:00:00,TS,-13.2,60.3125,SH132013,40.0,993.0,10.0,-8.0,15.0,-11.0,20.0,-15.0,25.0,-19.0,35.0,-26.0,50.0,-37.0,60.0,-45.0,65.0,-49.0,70.0,-52.0,75.0,-56.0,65.0,-49.0,55.0,-41.0,45.0,-34.0,40.0,-30.0,35.0,-26.0,30.0,-23.0,25.0,-19.0,25.0,-19.0,30.0,-23.0,30.0,-23.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-28 12:00:00,TS,-13.3,58.5,SH132013,55.0,982.0,5.0,-4.0,10.0,-8.0,20.0,-15.0,35.0,-26.0,45.0,-34.0,50.0,-38.0,55.0,-41.0,60.0,-45.0,50.0,-38.0,40.0,-30.0,30.0,-23.0,25.0,-19.0,20.0,-15.0,15.0,-12.0,10.0,-8.0,10.0,-8.0,15.0,-12.0,15.0,-12.0,10.0,-8.0,5.0,-4.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-29 00:00:00,TS,-13.5,56.59375,SH132013,65.0,974.0,10.0,-7.0,25.0,-18.0,35.0,-26.0,40.0,-30.0,45.0,-33.0,50.0,-37.0,40.0,-30.0,30.0,-22.0,20.0,-15.0,15.0,-11.0,10.0,-7.0,5.0,-4.0,0.0,0.0,0.0,0.0,5.0,-4.0,5.0,-4.0,0.0,0.0,-5.0,4.0,-15.0,11.0,-15.0,11.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-29 12:00:00,TS,-14.1,55.09375,SH132013,90.0,956.0,10.0,-8.0,15.0,-12.0,20.0,-15.0,25.0,-19.0,15.0,-12.0,5.0,-4.0,-5.0,3.0,-10.0,7.0,-15.0,11.0,-20.0,14.0,-25.0,18.0,-25.0,18.0,-20.0,14.0,-20.0,14.0,-25.0,18.0,-30.0,22.0,-40.0,29.0,-40.0,29.0,-50.0,37.0,-50.0,37.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-30 00:00:00,TS,-14.6,53.8125,SH132013,105.0,944.0,5.0,-3.0,10.0,-7.0,0.0,0.0,-10.0,8.0,-20.0,15.0,-25.0,19.0,-30.0,23.0,-35.0,26.0,-40.0,30.0,-40.0,30.0,-35.0,26.0,-35.0,26.0,-40.0,30.0,-45.0,34.0,-55.0,41.0,-55.0,41.0,-65.0,49.0,-65.0,49.0,-65.0,49.0,-70.0,52.0,2013
2013026S13067,2013,SI,MM,FELLENG,2013-01-30 12:00:00,TS,-16.1,52.6875,SH132013,115.0,937.0,-10.0,7.0,-20.0,15.0,-30.0,22.0,-35.0,26.0,-40.0,30.0,-45.0,33.0,-50.0,37.0,-50.0,37.0,-45.0,33.0,-45.0,33.0,-50.0,37.0,-55.0,41.0,-65.0,48.0,-65.0,48.0,-75.0,56.0,-75.0,56.0,-75.0,56.0,-80.0,59.0,-80.0,59.0,-80.0,59.0,2013
2013040S16199,2013,SP,MM,HALEY,2013-02-09 00:00:00,TS,-18.1,201.25,SH142013,30.0,1000.0,0.0,0.0,10.0,-7.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,15.0,-11.0,10.0,-7.0,5.0,-4.0,0.0,0.0,0.0,0.0,-5.0,4.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,-10.0,7.0,2013
2013040S16199,2013,SP,MM,HALEY,2013-02-09 12:00:00,TS,-20.1,203.625,SH142013,40.0,993.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,5.0,-4.0,0.0,0.0,-5.0,3.0,-10.0,7.0,-10.0,7.0,-15.0,11.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,-20.0,14.0,2013
2013041S10087,2013,SI,MM,GINO,2013-02-10 00:00:00,TS,-10.8,86.5,SH152013,25.0,1004.0,0.0,0.0,0.0,0.0,5.0,-4.0,5.0,-4.0,10.0,-8.0,15.0,-11.0,20.0,-15.0,30.0,-22.0,40.0,-30.0,45.0,-34.0,50.0,-37.0,60.0,-45.0,60.0,-45.0,60.0,-45.0,65.0,-48.0,65.0,-48.0,65.0,-48.0,50.0,-37.0,35.0,-26.0,30.0,-22.0,2013
2013041S10087,2013,SI,MM,GINO,2013-02-10 12:00:00,TS,-12.0,84.5,SH152013,25.0,1004.0,5.0,-4.0,5.0,-4.0,10.0,-8.0,15.0,-11.0,20.0,-15.0,30.0,-22.0,40.0,-30.0,45.0,-34.0,50.0,-37.0,60.0,-45.0,60.0,-45.0,60.0,-45.0,65.0,-48.0,65.0,-48.0,65.0,-48.0,50.0,-37.0,35.0,-26.0,30.0,-22.0,20.0,-15.0,15.0,-11.0,2013
2013041S10087,2013,SI,MM,GINO,2013-02-11 00:00:00,TS,-12.0,82.625,SH152013,30.0,1000.0,5.0,-4.0,10.0,-7.0,15.0,-11.0,25.0,-18.0,35.0,-26.0,40.0,-30.0,45.0,-33.0,55.0,-41.0,55.0,-41.0,55.0,-41.0,60.0,-44.0,60.0,-44.0,60.0,-44.0,45.0,-33.0,30.0,-22.0,25.0,-18.0,15.0,-11.0,10.0,-7.0,10.0,-7.0,0.0,0.0,2013
