Forecast_Hour,N_member_records,N_obs_RI,N_pred_RI,Obs_RI_Rate,Pred_RI_Rate,TP,FN,FP,TN,CSI,PSS,Hit_Rate,False_Alarm_Rate
24,48750,3800,2802,0.07794871794871795,0.05747692307692308,770,3030,2032,42918,0.13203017832647462,0.15742579474269655,0.2026315789473684,0.045205784204671855
30,47150,4500,3229,0.09544008483563096,0.06848356309650053,826,3674,2403,40247,0.11965811965811966,0.1272132343363293,0.18355555555555556,0.05634232121922626
36,45750,4300,4139,0.09398907103825137,0.09046994535519126,960,3340,3179,38271,0.1283594063377457,0.1465610009257441,0.22325581395348837,0.07669481302774427
42,44150,4000,4953,0.09060022650056625,0.11218573046432616,1007,2993,3946,36204,0.12673043040523535,0.15346855541718551,0.25175,0.09828144458281445
48,42600,3850,5469,0.0903755868544601,0.12838028169014085,1001,2849,4468,34282,0.1203414282279394,0.1446967741935484,0.26,0.11530322580645161
54,41000,3350,5787,0.08170731707317073,0.14114634146341462,890,2460,4897,32753,0.10791803079907845,0.1356052407286278,0.2656716417910448,0.130066401062417
60,39650,3200,5809,0.0807061790668348,0.14650693568726356,859,2341,4950,31500,0.10539877300613497,0.13263503086419753,0.2684375,0.13580246913580246
66,38100,2750,5622,0.07217847769028872,0.14755905511811024,690,2060,4932,30418,0.08982035928143713,0.11138999614247139,0.2509090909090909,0.13951909476661953
72,36550,2350,5613,0.06429548563611491,0.1535704514363885,517,1833,5096,29104,0.06943325275315605,0.07099415204678364,0.22,0.14900584795321636
78,35000,2000,5452,0.05714285714285714,0.15577142857142856,410,1590,5042,27958,0.05822209599545584,0.05221212121212121,0.205,0.15278787878787878
84,33450,1750,5404,0.052316890881913304,0.16155455904334828,399,1351,5005,26695,0.05906735751295337,0.07011356466876972,0.228,0.15788643533123028
90,32050,1450,5385,0.0452418096723869,0.16801872074882995,276,1174,5109,25491,0.0420795853026376,0.023384043272481392,0.19034482758620688,0.1669607843137255
96,30600,1450,5226,0.04738562091503268,0.1707843137254902,287,1163,4939,24211,0.04492095789638441,0.028497072218607672,0.19793103448275862,0.16943396226415094
102,29300,1150,5127,0.03924914675767918,0.17498293515358362,235,915,4892,23258,0.03889440582588547,0.030564522356938767,0.20434782608695654,0.17378330373001777
108,28000,1300,4787,0.04642857142857143,0.1709642857142857,256,1044,4531,22169,0.04390327559595267,0.02722270239124172,0.19692307692307692,0.1697003745318352
114,26850,1050,4772,0.03910614525139665,0.17772811918063314,224,826,4548,21252,0.04001429081814934,0.037054263565891477,0.21333333333333335,0.17627906976744187
120,25700,1100,4376,0.042801556420233464,0.17027237354085603,212,888,4164,20436,0.04027355623100304,0.02345898004434588,0.19272727272727272,0.16926829268292684
